id_cliente,qtde_compras,valor_compras,periodo_consumo
102337.0,13,203.16,2024-04
100058.0,12,257.64,2024-04
102246.0,12,231.03,2024-04
101653.0,11,196.9,2024-04
100372.0,11,147.53,2024-04
102057.0,10,134.12,2024-04
100307.0,10,124.19,2024-04
101130.0,10,206.13,2024-04
101006.0,10,179.25,2024-04
,9,171.09,2024-04
100709.0,9,108.35,2024-04
101893.0,8,173.32,2024-04
100887.0,8,162.17,2024-04
101080.0,8,111.86,2024-04
101048.0,8,109.39,2024-04
101604.0,8,109.52,2024-04
100832.0,7,104.41,2024-04
101076.0,7,120.06,2024-04
101217.0,7,113.47,2024-04
101935.0,7,103.48,2024-04
102589.0,7,126.24,2024-04
100991.0,7,92.71,2024-04
100434.0,7,103.55,2024-04
102020.0,6,93.27,2024-04
100522.0,6,98.73,2024-04
100464.0,6,118.75,2024-04
100016.0,6,83.13,2024-04
101266.0,6,102.27,2024-04
100154.0,6,107.02,2024-04
101730.0,6,73.81,2024-04
100353.0,6,107.94,2024-04
100791.0,6,81.35,2024-04
102293.0,5,62.45,2024-04
100881.0,5,107.26,2024-04
101484.0,5,108.11,2024-04
100238.0,5,100.14,2024-04
102153.0,5,74.59,2024-04
100529.0,5,64.1,2024-04
102167.0,5,93.84,2024-04
101502.0,5,81.47,2024-04
100471.0,5,65.34,2024-04
100148.0,5,84.26,2024-04
100995.0,5,60.89,2024-04
102006.0,5,105.25,2024-04
102644.0,5,72.27,2024-04
100930.0,5,92.74,2024-04
100732.0,4,59.96,2024-04
101789.0,4,68.41,2024-04
100955.0,4,69.49,2024-04
102278.0,4,54.82,2024-04
101416.0,4,86.65,2024-04
102012.0,4,78.76,2024-04
101947.0,4,85.43,2024-04
102578.0,4,83.61,2024-04
100304.0,4,71.57,2024-04
101548.0,4,84.71,2024-04
101414.0,4,50.91,2024-04
101771.0,4,55.27,2024-04
102200.0,4,49.15,2024-04
100947.0,4,60.52,2024-04
100252.0,4,63.08,2024-04
102106.0,4,58.33,2024-04
100783.0,4,80.93,2024-04
101904.0,4,61.79,2024-04
101765.0,4,58.71,2024-04
102617.0,4,69.33,2024-04
102154.0,4,53.04,2024-04
101457.0,4,79.86,2024-04
100010.0,4,50.34,2024-04
101229.0,4,87.35,2024-04
101671.0,3,58.98,2024-04
101321.0,3,41.53,2024-04
102258.0,3,35.66,2024-04
102561.0,3,60.3,2024-04
101693.0,3,56.99,2024-04
102475.0,3,57.67,2024-04
102078.0,3,54.77,2024-04
101727.0,3,37.74,2024-04
100477.0,3,46.39,2024-04
100276.0,3,39.01,2024-04
101393.0,3,61.75,2024-04
100360.0,3,54.45,2024-04
102350.0,3,45.56,2024-04
100169.0,3,37.42,2024-04
101100.0,3,44.95,2024-04
102399.0,3,45.38,2024-04
100634.0,3,57.68,2024-04
101501.0,3,54.88,2024-04
101241.0,3,62.48,2024-04
102517.0,3,49.85,2024-04
101909.0,3,31.18,2024-04
101869.0,3,57.19,2024-04
100825.0,3,58.63,2024-04
102460.0,3,52.56,2024-04
100314.0,3,58.94,2024-04
102290.0,3,50.51,2024-04
102000.0,3,51.39,2024-04
100396.0,3,48.5,2024-04
102591.0,3,36.26,2024-04
102206.0,3,38.77,2024-04
101422.0,3,36.45,2024-04
102269.0,3,54.85,2024-04
101565.0,3,45.05,2024-04
102088.0,3,50.96,2024-04
100778.0,3,63.1,2024-04
100741.0,3,43.07,2024-04
101280.0,3,47.97,2024-04
101594.0,3,58.47,2024-04
101683.0,2,28.3,2024-04
100989.0,2,25.22,2024-04
101512.0,2,29.54,2024-04
100272.0,2,26.93,2024-04
101672.0,2,42.51,2024-04
102430.0,2,40.05,2024-04
102371.0,2,36.51,2024-04
101477.0,2,41.33,2024-04
100860.0,2,39.96,2024-04
102344.0,2,27.44,2024-04
102426.0,2,41.76,2024-04
100497.0,2,34.6,2024-04
102312.0,2,40.03,2024-04
100458.0,2,41.83,2024-04
101070.0,2,30.11,2024-04
102329.0,2,25.89,2024-04
101525.0,2,28.28,2024-04
100874.0,2,32.32,2024-04
101389.0,2,40.25,2024-04
101800.0,2,41.12,2024-04
101104.0,2,23.8,2024-04
102423.0,2,34.02,2024-04
101202.0,2,32.13,2024-04
101216.0,2,28.16,2024-04
100494.0,2,26.09,2024-04
101514.0,2,30.51,2024-04
102075.0,2,42.78,2024-04
100361.0,2,30.21,2024-04
102083.0,2,34.18,2024-04
102014.0,2,37.92,2024-04
101424.0,2,31.03,2024-04
102197.0,2,43.37,2024-04
102183.0,2,43.18,2024-04
102089.0,2,28.77,2024-04
102029.0,2,33.74,2024-04
102544.0,2,29.76,2024-04
100239.0,2,29.44,2024-04
101108.0,2,24.41,2024-04
101539.0,2,36.02,2024-04
101958.0,2,33.85,2024-04
100335.0,2,24.7,2024-04
101121.0,2,29.31,2024-04
101068.0,2,42.08,2024-04
100700.0,2,28.52,2024-04
100688.0,2,26.6,2024-04
100905.0,2,33.59,2024-04
100524.0,2,43.65,2024-04
100415.0,2,28.57,2024-04
101731.0,2,37.29,2024-04
101328.0,2,39.11,2024-04
101082.0,2,28.48,2024-04
101427.0,2,38.43,2024-04
101225.0,2,31.12,2024-04
101243.0,2,36.48,2024-04
102523.0,2,36.51,2024-04
100220.0,2,34.53,2024-04
100348.0,2,25.49,2024-04
100004.0,2,40.6,2024-04
101164.0,2,30.17,2024-04
100339.0,2,27.44,2024-04
101152.0,2,24.49,2024-04
101823.0,2,35.64,2024-04
100503.0,2,37.4,2024-04
100729.0,2,24.0,2024-04
100870.0,2,34.05,2024-04
102251.0,2,28.25,2024-04
102510.0,2,36.74,2024-04
100559.0,2,27.2,2024-04
100627.0,2,37.67,2024-04
101848.0,2,31.5,2024-04
102647.0,2,42.66,2024-04
102289.0,2,26.45,2024-04
101125.0,2,30.58,2024-04
101545.0,2,25.96,2024-04
102265.0,2,42.41,2024-04
101946.0,2,41.45,2024-04
100232.0,2,28.89,2024-04
101113.0,2,37.04,2024-04
102447.0,2,40.23,2024-04
100196.0,2,34.92,2024-04
101075.0,1,17.2,2024-04
102484.0,1,14.28,2024-04
100387.0,1,12.77,2024-04
101903.0,1,20.93,2024-04
100846.0,1,20.96,2024-04
100298.0,1,18.25,2024-04
102394.0,1,15.27,2024-04
100404.0,1,15.37,2024-04
100867.0,1,19.19,2024-04
100628.0,1,20.93,2024-04
100972.0,1,7.64,2024-04
101378.0,1,19.74,2024-04
100736.0,1,18.34,2024-04
102653.0,1,12.68,2024-04
101372.0,1,13.47,2024-04
101311.0,1,20.94,2024-04
100775.0,1,17.98,2024-04
101207.0,1,11.92,2024-04
102594.0,1,12.86,2024-04
100061.0,1,18.56,2024-04
100835.0,1,11.88,2024-04
102275.0,1,13.46,2024-04
102488.0,1,17.39,2024-04
101303.0,1,18.85,2024-04
101327.0,1,18.44,2024-04
100906.0,1,14.1,2024-04
102479.0,1,19.05,2024-04
100574.0,1,14.24,2024-04
101190.0,1,15.13,2024-04
100311.0,1,19.4,2024-04
100671.0,1,18.42,2024-04
101785.0,1,20.44,2024-04
102526.0,1,18.5,2024-04
101617.0,1,17.59,2024-04
101397.0,1,12.78,2024-04
101359.0,1,15.56,2024-04
100558.0,1,14.52,2024-04
100003.0,1,14.3,2024-04
102596.0,1,21.7,2024-04
100174.0,1,15.82,2024-04
101516.0,1,20.88,2024-04
101523.0,1,18.23,2024-04
101435.0,1,19.89,2024-04
100353.0,16,270.83,2024-03
102057.0,15,265.2,2024-03
102589.0,14,235.54,2024-03
101672.0,14,193.34,2024-03
102279.0,14,268.18,2024-03
,14,205.48,2024-03
100832.0,12,144.92,2024-03
101358.0,12,220.5,2024-03
100972.0,10,136.26,2024-03
100562.0,10,213.66,2024-03
101535.0,9,193.53,2024-03
100058.0,8,168.85,2024-03
100991.0,8,124.67,2024-03
100434.0,7,83.91,2024-03
102020.0,7,148.7,2024-03
100396.0,7,113.2,2024-03
102653.0,6,129.79,2024-03
101909.0,6,129.61,2024-03
102211.0,6,122.88,2024-03
101048.0,6,88.89,2024-03
102167.0,6,94.41,2024-03
102031.0,6,122.76,2024-03
100817.0,6,90.26,2024-03
100003.0,6,81.29,2024-03
100276.0,5,87.38,2024-03
101076.0,5,106.61,2024-03
100529.0,5,94.44,2024-03
102078.0,5,88.05,2024-03
101548.0,5,64.08,2024-03
102186.0,5,90.33,2024-03
101067.0,5,109.35,2024-03
102000.0,5,66.25,2024-03
102673.0,4,68.34,2024-03
100301.0,4,82.91,2024-03
102337.0,4,77.37,2024-03
100157.0,4,75.59,2024-03
101238.0,4,75.81,2024-03
101615.0,4,61.9,2024-03
100314.0,4,59.23,2024-03
100016.0,4,80.15,2024-03
101902.0,4,80.18,2024-03
